PG,SG,SF,PF,C,G,F,UTIL,Date,Score,Genetic
Rajon Rondo,Alex Caruso,Jimmy Butler,Jae Crowder,Brook Lopez,Tyler Herro,Anthony Davis,Bam Adebayo,20200904,297.5,280.25
Kyle Lowry,Jamal Murray,Jerami Grant,Semi Ojeleye,JaMychal Green,Gary Harris,Paul George,Nikola Jokic,20200905,291.25,283.25
Rajon Rondo,Donte DiVincenzo,Eric Gordon,Markieff Morris,Anthony Davis,LeBron James,Khris Middleton,PJ Tucker,20200906,341.5,346.25
Brad Wanamaker,Matt Thomas,Jaylen Brown,JaMychal Green,Nikola Jokic,Gary Harris,Kawhi Leonard,Paul George,20200907,291.75,278.5
Donte DiVincenzo,Tyler Herro,Andre Iguodala,Kelly Olynyk,Anthony Davis,Rajon Rondo,LeBron James,Russell Westbrook,20200908,321.75,310.25
Landry Shamet,Torrey Craig,Norman Powell,Pascal Siakam,Ivica Zubac,Fred VanVleet,Kawhi Leonard,Kyle Lowry,20200909,304.0,307.75
Monte Morris,Marcus Smart,Marcus Morris,Paul Millsap,Marc Gasol,Jaylen Brown,Jayson Tatum,Paul George,20200911,283.0,283.5
Patrick Beverley,Tyler Herro,Jerami Grant,JaMychal Green,Nikola Jokic,Goran Dragic,Jae Crowder,Jamal Murray,20200915,331.75,320.25
Goran Dragic,Duncan Robinson,Jaylen Brown,Jae Crowder,Daniel Theis,Kemba Walker,Kelly Olynyk,Bam Adebayo,20200917,243.0,249.5
Rajon Rondo,Kentavious Caldwell-Pope,LeBron James,Jerami Grant,Mason Plumlee,Jamal Murray,Anthony Davis,Dwight Howard,20200918,239.5,242.0
