Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20210416,Aaron Gordon,Den,21.45,3,6,0.5,0,2,0.0,2,2,1.0,1,1,2,2,1,0,1,1,8,12
20210421,Aaron Gordon,Den,29.02,4,11,0.364,2,4,0.5,2,2,1.0,1,5,6,3,2,0,2,1,12,2
20210423,Aaron Gordon,Den,27.12,6,11,0.545,2,5,0.4,3,4,0.75,2,4,6,2,0,1,2,0,17,-7
20210424,Aaron Gordon,Den,19.38,3,7,0.429,1,4,0.25,0,0,0.0,0,2,2,1,1,0,2,1,7,16
20210426,Aaron Gordon,Den,22.05,6,10,0.6,2,3,0.667,1,3,0.333,3,2,5,2,1,0,0,3,15,9
20210428,Aaron Gordon,Den,29.03,4,7,0.571,0,1,0.0,2,2,1.0,1,4,5,1,0,0,2,5,10,-14
20210429,Aaron Gordon,Den,23.53,4,9,0.444,0,2,0.0,1,2,0.5,4,3,7,4,0,1,2,1,9,0
20210501,Aaron Gordon,Den,28.07,2,5,0.4,0,2,0.0,3,4,0.75,1,0,1,2,0,0,0,2,7,-11
20210503,Aaron Gordon,Den,24.34,2,7,0.286,0,1,0.0,1,2,0.5,2,4,6,1,0,4,2,4,5,8
20210505,Aaron Gordon,Den,22.07,0,6,0.0,0,2,0.0,0,0,0.0,2,3,5,1,0,0,2,1,0,8
20210507,Aaron Gordon,Den,30.14,5,9,0.556,0,3,0.0,0,1,0.0,1,5,6,1,1,0,1,1,10,1
20210511,Aaron Gordon,Den,28.36,8,14,0.571,1,2,0.5,0,0,0.0,3,3,6,3,2,0,0,0,17,11
20210513,Aaron Gordon,Den,30.24,6,10,0.6,1,2,0.5,2,2,1.0,1,2,3,4,1,0,1,1,15,8
20210516,Aaron Gordon,Den,12.17,1,4,0.25,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,1,2,-11
